2.0	4.0	4.93242414866	5.60407866131	6.14463365137	6.60385449779	7.00679612077	7.36806299728	7.69700226255	8.0	
0	nan	nan	nan	nan	106.571537194	104.216854244	104.216854244	104.216854244	100.442022109	

1	101.577768585	106.531784711	106.531784711	105.308002826	105.308002826	105.308002826	105.387021088	106.153363978	106.307125403	

2	90.7765946811	84.834767929	91.1759286053	99.0226773602	98.4755986136	99.7920662262	99.7920662262	101.369039391	102.66060106	

3	130.767092865	130.767092865	112.79545553	100.139870075	103.016812667	100.357855569	104.02624324	104.02624324	103.66623794	

4	171.856896542	171.856896542	101.906007734	101.906007734	101.302501805	97.0573856422	98.4210643527	97.6524380401	97.9374364472	

5	91.8029808263	109.507464374	104.618919685	104.618919685	104.806831804	104.782984909	103.057921801	103.057921801	103.057921801	

6	nan	110.498054245	121.512205013	114.786597064	111.619521656	106.430931702	100.441301889	100.441301889	100.441301889	

7	76.0237768679	77.1096006565	80.6642627298	85.2469692062	86.475559585	89.9794042658	89.9794042658	90.0956430612	90.9633961537	

8	nan	100.37131854	95.0525014609	93.7912367708	93.7912367708	95.720893269	95.720893269	97.2131824217	97.2131824217	

9	nan	93.1148199602	103.686351792	106.667925096	106.667925096	102.449205443	102.449205443	102.425182996	97.3850310015	

10	127.884065586	99.5428861422	99.5428861422	99.5428861422	98.2079532935	94.8393980378	94.8393980378	94.8393980378	97.2693242208	

11	101.24270085	101.070484312	101.070484312	101.174223631	101.174223631	98.8481682483	98.414548397	98.0481582823	99.6979566979	

12	105.179862458	91.5722699897	91.5722699897	91.5722699897	96.3777778184	96.3777778184	93.5380031911	103.140961257	103.140961257	

13	nan	nan	nan	nan	98.4991546825	104.256583963	110.619991906	110.619991906	107.210833339	

14	84.7610895059	90.0572461859	86.4134387394	86.4134387394	86.4134387394	95.1194756754	97.1276159585	105.367711955	104.266587234	

15	107.646149693	107.646149693	122.401552095	112.792976443	104.086039707	104.568251685	103.039317196	103.039317196	105.463601882	

16	117.421399436	89.4337787368	90.8943047308	90.8943047308	92.6673216007	96.178503974	98.4105371426	98.4105371426	100.329084874	

17	97.4335695678	92.7394820817	96.176513169	95.798489239	94.5379653154	96.2577017519	96.2577017519	95.9513121669	97.0071374192	

18	nan	nan	nan	104.599054653	104.599054653	104.599054653	96.5259368262	97.1783117538	97.3321779332	

19	nan	nan	105.004101344	104.567032708	96.6429576131	98.6876399842	97.4317494098	97.7061116683	97.9087789716	

20	111.49633589	106.494012233	106.494012233	94.8839041971	96.6248971713	96.7030766824	96.7232883089	96.0244716174	96.0244716174	

21	nan	98.3928958189	98.3928958189	90.9642879048	101.084490628	102.59218394	102.279528046	99.2458904781	99.2458904781	

22	104.321139181	104.009333478	95.5489215404	97.804243997	97.8761416605	98.2966066183	97.4946855173	100.083337201	101.270945366	

23	nan	115.289082078	115.026053239	113.47637722	113.47637722	111.658002735	114.559983212	114.559983212	114.559983212	

24	101.411166674	113.044098027	106.732757744	102.164911909	102.279382874	100.56077621	100.330413038	99.6313173294	99.6313173294	

